artikel_id;datum;menge;bestand;lieferzeit_tage
ARBEITSSCHUH-HE-40-GR;2024-04-01;12;12;30
ARBEITSSCHUH-HE-40-GR;2024-05-01;13;12;30
ARBEITSSCHUH-HE-40-GR;2024-06-01;11;12;30
ARBEITSSCHUH-HE-40-GR;2024-07-01;11;12;30
ARBEITSSCHUH-HE-40-GR;2024-08-01;6;12;30
ARBEITSSCHUH-HE-40-GR;2024-09-01;16;12;30
ARBEITSSCHUH-HE-40-GR;2024-10-01;8;12;30
ARBEITSSCHUH-HE-40-GR;2024-11-01;10;12;30
ARBEITSSCHUH-HE-40-GR;2024-12-01;13;12;30
ARBEITSSCHUH-HE-40-NV;2023-01-01;14;13;30
ARBEITSSCHUH-HE-40-NV;2023-02-01;11;13;30
ARBEITSSCHUH-HE-40-NV;2023-03-01;10;13;30
ARBEITSSCHUH-HE-40-NV;2023-04-01;14;13;30
ARBEITSSCHUH-HE-40-NV;2023-05-01;11;13;30
ARBEITSSCHUH-HE-40-NV;2023-06-01;11;13;30
ARBEITSSCHUH-HE-40-NV;2023-07-01;10;13;30
ARBEITSSCHUH-HE-40-NV;2023-08-01;10;13;30
ARBEITSSCHUH-HE-40-NV;2023-09-01;14;13;30
ARBEITSSCHUH-HE-40-NV;2023-10-01;12;13;30
ARBEITSSCHUH-HE-40-NV;2023-11-01;13;13;30
ARBEITSSCHUH-HE-40-NV;2023-12-01;15;13;30
ARBEITSSCHUH-HE-40-NV;2024-01-01;13;13;30
ARBEITSSCHUH-HE-40-NV;2024-02-01;10;13;30
ARBEITSSCHUH-HE-40-NV;2024-03-01;13;13;30
ARBEITSSCHUH-HE-40-NV;2024-04-01;11;13;30
ARBEITSSCHUH-HE-40-NV;2024-05-01;12;13;30
ARBEITSSCHUH-HE-40-NV;2024-06-01;13;13;30
ARBEITSSCHUH-HE-40-NV;2024-07-01;14;13;30
ARBEITSSCHUH-HE-40-NV;2024-08-01;13;13;30
ARBEITSSCHUH-HE-40-NV;2024-09-01;13;13;30
ARBEITSSCHUH-HE-40-NV;2024-10-01;15;13;30
ARBEITSSCHUH-HE-40-NV;2024-11-01;14;13;30
ARBEITSSCHUH-HE-40-NV;2024-12-01;19;13;30
ARBEITSSCHUH-HE-40-RT;2023-01-01;7;24;30
ARBEITSSCHUH-HE-40-RT;2023-02-01;4;24;30
ARBEITSSCHUH-HE-40-RT;2023-03-01;8;24;30
ARBEITSSCHUH-HE-40-RT;2023-04-01;7;24;30
ARBEITSSCHUH-HE-40-RT;2023-05-01;9;24;30
ARBEITSSCHUH-HE-40-RT;2023-06-01;7;24;30
ARBEITSSCHUH-HE-40-RT;2023-07-01;7;24;30
ARBEITSSCHUH-HE-40-RT;2023-08-01;5;24;30
ARBEITSSCHUH-HE-40-RT;2023-09-01;5;24;30
ARBEITSSCHUH-HE-40-RT;2023-10-01;8;24;30
ARBEITSSCHUH-HE-40-RT;2023-11-01;8;24;30
ARBEITSSCHUH-HE-40-RT;2023-12-01;7;24;30
ARBEITSSCHUH-HE-40-RT;2024-01-01;6;24;30
ARBEITSSCHUH-HE-40-RT;2024-02-01;5;24;30
ARBEITSSCHUH-HE-40-RT;2024-03-01;4;24;30
ARBEITSSCHUH-HE-40-RT;2024-04-01;7;24;30
ARBEITSSCHUH-HE-40-RT;2024-05-01;6;24;30
ARBEITSSCHUH-HE-40-RT;2024-06-01;4;24;30
ARBEITSSCHUH-HE-40-RT;2024-07-01;5;24;30
ARBEITSSCHUH-HE-40-RT;2024-08-01;7;24;30
ARBEITSSCHUH-HE-40-RT;2024-09-01;8;24;30
ARBEITSSCHUH-HE-40-RT;2024-10-01;5;24;30
ARBEITSSCHUH-HE-40-RT;2024-11-01;7;24;30
ARBEITSSCHUH-HE-40-RT;2024-12-01;8;24;30
ARBEITSSCHUH-HE-40-WS;2023-01-01;11;18;30
ARBEITSSCHUH-HE-40-WS;2023-02-01;13;18;30
ARBEITSSCHUH-HE-40-WS;2023-03-01;17;18;30
ARBEITSSCHUH-HE-40-WS;2023-04-01;17;18;30
ARBEITSSCHUH-HE-40-WS;2023-05-01;17;18;30
ARBEITSSCHUH-HE-40-WS;2023-06-01;16;18;30
ARBEITSSCHUH-HE-40-WS;2023-07-01;17;18;30
ARBEITSSCHUH-HE-40-WS;2023-08-01;14;18;30
ARBEITSSCHUH-HE-40-WS;2023-09-01;17;18;30
ARBEITSSCHUH-HE-40-WS;2023-10-01;17;18;30
ARBEITSSCHUH-HE-40-WS;2023-11-01;15;18;30
ARBEITSSCHUH-HE-40-WS;2023-12-01;14;18;30
ARBEITSSCHUH-HE-40-WS;2024-01-01;15;18;30
ARBEITSSCHUH-HE-40-WS;2024-02-01;14;18;30
ARBEITSSCHUH-HE-40-WS;2024-03-01;18;18;30
ARBEITSSCHUH-HE-40-WS;2024-04-01;11;18;30
ARBEITSSCHUH-HE-40-WS;2024-05-01;13;18;30
ARBEITSSCHUH-HE-40-WS;2024-06-01;13;18;30
ARBEITSSCHUH-HE-40-WS;2024-07-01;14;18;30
ARBEITSSCHUH-HE-40-WS;2024-08-01;16;18;30
ARBEITSSCHUH-HE-40-WS;2024-09-01;15;18;30
ARBEITSSCHUH-HE-40-WS;2024-10-01;10;18;30
ARBEITSSCHUH-HE-40-WS;2024-11-01;12;18;30
ARBEITSSCHUH-HE-40-WS;2024-12-01;14;18;30
ARBEITSSCHUH-HE-41-BG;2023-01-01;11;88;30
ARBEITSSCHUH-HE-41-BG;2023-02-01;14;88;30
ARBEITSSCHUH-HE-41-BG;2023-03-01;11;88;30
ARBEITSSCHUH-HE-41-BG;2023-04-01;17;88;30
ARBEITSSCHUH-HE-41-BG;2023-05-01;19;88;30
ARBEITSSCHUH-HE-41-BG;2023-06-01;14;88;30
ARBEITSSCHUH-HE-41-BG;2023-07-01;14;88;30
ARBEITSSCHUH-HE-41-BG;2023-08-01;16;88;30
ARBEITSSCHUH-HE-41-BG;2023-09-01;19;88;30
ARBEITSSCHUH-HE-41-BG;2023-10-01;19;88;30
ARBEITSSCHUH-HE-41-BG;2023-11-01;15;88;30
ARBEITSSCHUH-HE-41-BG;2023-12-01;14;88;30
ARBEITSSCHUH-HE-41-BG;2024-01-01;18;88;30
ARBEITSSCHUH-HE-41-BG;2024-02-01;14;88;30
ARBEITSSCHUH-HE-41-BG;2024-03-01;18;88;30
ARBEITSSCHUH-HE-41-BG;2024-04-01;12;88;30
ARBEITSSCHUH-HE-41-BG;2024-05-01;18;88;30
ARBEITSSCHUH-HE-41-BG;2024-06-01;15;88;30
ARBEITSSCHUH-HE-41-BG;2024-07-01;14;88;30
ARBEITSSCHUH-HE-41-BG;2024-08-01;15;88;30
ARBEITSSCHUH-HE-41-BG;2024-09-01;20;88;30
ARBEITSSCHUH-HE-41-BG;2024-10-01;18;88;30
ARBEITSSCHUH-HE-41-BG;2024-11-01;20;88;30
ARBEITSSCHUH-HE-41-BG;2024-12-01;19;88;30
ARBEITSSCHUH-HE-41-NV;2023-01-01;21;98;30
ARBEITSSCHUH-HE-41-NV;2023-02-01;14;98;30
ARBEITSSCHUH-HE-41-NV;2023-03-01;24;98;30
ARBEITSSCHUH-HE-41-NV;2023-04-01;24;98;30
ARBEITSSCHUH-HE-41-NV;2023-05-01;23;98;30
ARBEITSSCHUH-HE-41-NV;2023-06-01;23;98;30
ARBEITSSCHUH-HE-41-NV;2023-07-01;22;98;30
ARBEITSSCHUH-HE-41-NV;2023-08-01;28;98;30
ARBEITSSCHUH-HE-41-NV;2023-09-01;20;98;30
ARBEITSSCHUH-HE-41-NV;2023-10-01;23;98;30
ARBEITSSCHUH-HE-41-NV;2023-11-01;21;98;30
ARBEITSSCHUH-HE-41-NV;2023-12-01;22;98;30
ARBEITSSCHUH-HE-41-NV;2024-01-01;18;98;30
ARBEITSSCHUH-HE-41-NV;2024-02-01;18;98;30
ARBEITSSCHUH-HE-41-NV;2024-03-01;25;98;30
ARBEITSSCHUH-HE-41-NV;2024-04-01;19;98;30
ARBEITSSCHUH-HE-41-NV;2024-05-01;20;98;30
ARBEITSSCHUH-HE-41-NV;2024-06-01;19;98;30
ARBEITSSCHUH-HE-41-NV;2024-07-01;12;98;30
ARBEITSSCHUH-HE-41-NV;2024-08-01;22;98;30
ARBEITSSCHUH-HE-41-NV;2024-09-01;13;98;30
ARBEITSSCHUH-HE-41-NV;2024-10-01;24;98;30
ARBEITSSCHUH-HE-41-NV;2024-11-01;16;98;30
ARBEITSSCHUH-HE-41-NV;2024-12-01;24;98;30
ARBEITSSCHUH-HE-41-SW;2023-01-01;23;68;30
ARBEITSSCHUH-HE-41-SW;2023-02-01;34;68;30
ARBEITSSCHUH-HE-41-SW;2023-03-01;32;68;30
ARBEITSSCHUH-HE-41-SW;2023-04-01;43;68;30
ARBEITSSCHUH-HE-41-SW;2023-05-01;45;68;30
ARBEITSSCHUH-HE-41-SW;2023-06-01;36;68;30
ARBEITSSCHUH-HE-41-SW;2023-07-01;31;68;30
ARBEITSSCHUH-HE-41-SW;2023-08-01;30;68;30
ARBEITSSCHUH-HE-41-SW;2023-09-01;46;68;30
ARBEITSSCHUH-HE-41-SW;2023-10-01;44;68;30
ARBEITSSCHUH-HE-41-SW;2023-11-01;42;68;30
ARBEITSSCHUH-HE-41-SW;2023-12-01;54;68;30
ARBEITSSCHUH-HE-41-SW;2024-01-01;40;68;30
ARBEITSSCHUH-HE-41-SW;2024-02-01;35;68;30
ARBEITSSCHUH-HE-41-SW;2024-03-01;47;68;30
ARBEITSSCHUH-HE-41-SW;2024-04-01;53;68;30
ARBEITSSCHUH-HE-41-SW;2024-05-01;33;68;30
ARBEITSSCHUH-HE-41-SW;2024-06-01;43;68;30
ARBEITSSCHUH-HE-41-SW;2024-07-01;34;68;30
ARBEITSSCHUH-HE-41-SW;2024-08-01;35;68;30
ARBEITSSCHUH-HE-41-SW;2024-09-01;43;68;30
ARBEITSSCHUH-HE-41-SW;2024-10-01;37;68;30
ARBEITSSCHUH-HE-41-SW;2024-11-01;32;68;30
ARBEITSSCHUH-HE-41-SW;2024-12-01;54;68;30
ARBEITSSCHUH-HE-44-SW;2023-01-01;43;67;30
ARBEITSSCHUH-HE-44-SW;2023-02-01;35;67;30
ARBEITSSCHUH-HE-44-SW;2023-03-01;64;67;30
ARBEITSSCHUH-HE-44-SW;2023-04-01;72;67;30
ARBEITSSCHUH-HE-44-SW;2023-05-01;59;67;30
ARBEITSSCHUH-HE-44-SW;2023-06-01;50;67;30
ARBEITSSCHUH-HE-44-SW;2023-07-01;46;67;30
ARBEITSSCHUH-HE-44-SW;2023-08-01;55;67;30
ARBEITSSCHUH-HE-44-SW;2023-09-01;45;67;30
ARBEITSSCHUH-HE-44-SW;2023-10-01;59;67;30
ARBEITSSCHUH-HE-44-SW;2023-11-01;63;67;30
ARBEITSSCHUH-HE-44-SW;2023-12-01;63;67;30
ARBEITSSCHUH-HE-44-SW;2024-01-01;63;67;30
ARBEITSSCHUH-HE-44-SW;2024-02-01;50;67;30
ARBEITSSCHUH-HE-44-SW;2024-03-01;63;67;30
ARBEITSSCHUH-HE-44-SW;2024-04-01;61;67;30
ARBEITSSCHUH-HE-44-SW;2024-05-01;57;67;30
ARBEITSSCHUH-HE-44-SW;2024-06-01;49;67;30
ARBEITSSCHUH-HE-44-SW;2024-07-01;66;67;30
ARBEITSSCHUH-HE-44-SW;2024-08-01;76;67;30
ARBEITSSCHUH-HE-44-SW;2024-09-01;61;67;30
ARBEITSSCHUH-HE-44-SW;2024-10-01;54;67;30
ARBEITSSCHUH-HE-44-SW;2024-11-01;62;67;30
ARBEITSSCHUH-HE-44-SW;2024-12-01;77;67;30
ARBEITSSCHUH-HE-45-BR;2023-01-01;27;8;30
ARBEITSSCHUH-HE-45-BR;2023-02-01;24;8;30
ARBEITSSCHUH-HE-45-BR;2023-03-01;31;8;30
ARBEITSSCHUH-HE-45-BR;2023-04-01;25;8;30
ARBEITSSCHUH-HE-45-BR;2023-05-01;28;8;30
ARBEITSSCHUH-HE-45-BR;2023-06-01;26;8;30
ARBEITSSCHUH-HE-45-BR;2023-07-01;16;8;30
ARBEITSSCHUH-HE-45-BR;2023-08-01;14;8;30
ARBEITSSCHUH-HE-45-BR;2023-09-01;24;8;30
ARBEITSSCHUH-HE-45-BR;2023-10-01;22;8;30
ARBEITSSCHUH-HE-45-BR;2023-11-01;21;8;30
ARBEITSSCHUH-HE-45-BR;2023-12-01;29;8;30
ARBEITSSCHUH-HE-45-BR;2024-01-01;21;8;30
ARBEITSSCHUH-HE-45-BR;2024-02-01;19;8;30
ARBEITSSCHUH-HE-45-BR;2024-03-01;19;8;30
ARBEITSSCHUH-HE-45-BR;2024-04-01;22;8;30
ARBEITSSCHUH-HE-45-BR;2024-05-01;19;8;30
ARBEITSSCHUH-HE-45-BR;2024-06-01;22;8;30
ARBEITSSCHUH-HE-45-BR;2024-07-01;20;8;30
ARBEITSSCHUH-HE-45-BR;2024-08-01;24;8;30
ARBEITSSCHUH-HE-45-BR;2024-09-01;22;8;30
ARBEITSSCHUH-HE-45-BR;2024-10-01;17;8;30
ARBEITSSCHUH-HE-45-BR;2024-11-01;13;8;30
ARBEITSSCHUH-HE-45-BR;2024-12-01;20;8;30
ARBEITSSCHUH-HE-45-NV;2023-01-01;16;60;30
ARBEITSSCHUH-HE-45-NV;2023-02-01;18;60;30
ARBEITSSCHUH-HE-45-NV;2023-03-01;22;60;30
ARBEITSSCHUH-HE-45-NV;2023-04-01;21;60;30
ARBEITSSCHUH-HE-45-NV;2023-05-01;29;60;30
ARBEITSSCHUH-HE-45-NV;2023-06-01;24;60;30
ARBEITSSCHUH-HE-45-NV;2023-07-01;26;60;30
ARBEITSSCHUH-HE-45-NV;2023-08-01;20;60;30
ARBEITSSCHUH-HE-45-NV;2023-09-01;24;60;30
ARBEITSSCHUH-HE-45-NV;2023-10-01;19;60;30
ARBEITSSCHUH-HE-45-NV;2023-11-01;16;60;30
ARBEITSSCHUH-HE-45-NV;2023-12-01;28;60;30
ARBEITSSCHUH-HE-45-NV;2024-01-01;20;60;30
ARBEITSSCHUH-HE-45-NV;2024-02-01;18;60;30
ARBEITSSCHUH-HE-45-NV;2024-03-01;22;60;30
ARBEITSSCHUH-HE-45-NV;2024-04-01;18;60;30
ARBEITSSCHUH-HE-45-NV;2024-05-01;24;60;30
ARBEITSSCHUH-HE-45-NV;2024-06-01;27;60;30
ARBEITSSCHUH-HE-45-NV;2024-07-01;21;60;30
ARBEITSSCHUH-HE-45-NV;2024-08-01;17;60;30
ARBEITSSCHUH-HE-45-NV;2024-09-01;17;60;30
ARBEITSSCHUH-HE-45-NV;2024-10-01;21;60;30
ARBEITSSCHUH-HE-45-NV;2024-11-01;22;60;30
ARBEITSSCHUH-HE-45-NV;2024-12-01;22;60;30
ARBEITSSCHUH-HE-45-WS;2023-01-01;27;37;30
ARBEITSSCHUH-HE-45-WS;2023-02-01;34;37;30
ARBEITSSCHUH-HE-45-WS;2023-03-01;33;37;30
ARBEITSSCHUH-HE-45-WS;2023-04-01;36;37;30
ARBEITSSCHUH-HE-45-WS;2023-05-01;35;37;30
ARBEITSSCHUH-HE-45-WS;2023-06-01;20;37;30
ARBEITSSCHUH-HE-45-WS;2023-07-01;31;37;30
ARBEITSSCHUH-HE-45-WS;2023-08-01;24;37;30
ARBEITSSCHUH-HE-45-WS;2023-09-01;34;37;30
ARBEITSSCHUH-HE-45-WS;2023-10-01;33;37;30
ARBEITSSCHUH-HE-45-WS;2023-11-01;30;37;30
ARBEITSSCHUH-HE-45-WS;2023-12-01;42;37;30
ARBEITSSCHUH-HE-45-WS;2024-01-01;23;37;30
ARBEITSSCHUH-HE-45-WS;2024-02-01;26;37;30
ARBEITSSCHUH-HE-45-WS;2024-03-01;28;37;30
ARBEITSSCHUH-HE-45-WS;2024-04-01;43;37;30
ARBEITSSCHUH-HE-45-WS;2024-05-01;37;37;30
ARBEITSSCHUH-HE-45-WS;2024-06-01;26;37;30
ARBEITSSCHUH-HE-45-WS;2024-07-01;30;37;30
ARBEITSSCHUH-HE-45-WS;2024-08-01;28;37;30
ARBEITSSCHUH-HE-45-WS;2024-09-01;46;37;30
ARBEITSSCHUH-HE-45-WS;2024-10-01;39;37;30
ARBEITSSCHUH-HE-45-WS;2024-11-01;43;37;30
ARBEITSSCHUH-HE-45-WS;2024-12-01;47;37;30
ARBEITSSCHUH-HE-46-NV;2023-01-01;10;34;30
ARBEITSSCHUH-HE-46-NV;2023-02-01;11;34;30
ARBEITSSCHUH-HE-46-NV;2023-03-01;11;34;30
ARBEITSSCHUH-HE-46-NV;2023-04-01;12;34;30
ARBEITSSCHUH-HE-46-NV;2023-05-01;12;34;30
ARBEITSSCHUH-HE-46-NV;2023-06-01;15;34;30
ARBEITSSCHUH-HE-46-NV;2023-07-01;7;34;30
ARBEITSSCHUH-HE-46-NV;2023-08-01;15;34;30
ARBEITSSCHUH-HE-46-NV;2023-09-01;14;34;30
ARBEITSSCHUH-HE-46-NV;2023-10-01;18;34;30
ARBEITSSCHUH-HE-46-NV;2023-11-01;14;34;30
ARBEITSSCHUH-HE-46-NV;2023-12-01;22;34;30
ARBEITSSCHUH-HE-46-NV;2024-01-01;13;34;30
ARBEITSSCHUH-HE-46-NV;2024-02-01;12;34;30
ARBEITSSCHUH-HE-46-NV;2024-03-01;14;34;30
ARBEITSSCHUH-HE-46-NV;2024-04-01;15;34;30
ARBEITSSCHUH-HE-46-NV;2024-05-01;16;34;30
ARBEITSSCHUH-HE-46-NV;2024-06-01;11;34;30
ARBEITSSCHUH-HE-46-NV;2024-07-01;13;34;30
ARBEITSSCHUH-HE-46-NV;2024-08-01;15;34;30
ARBEITSSCHUH-HE-46-NV;2024-09-01;15;34;30
ARBEITSSCHUH-HE-46-NV;2024-10-01;14;34;30
ARBEITSSCHUH-HE-46-NV;2024-11-01;12;34;30
ARBEITSSCHUH-HE-46-NV;2024-12-01;19;34;30
ARBEITSSCHUH-HE-46-RT;2023-01-01;7;26;30
ARBEITSSCHUH-HE-46-RT;2023-02-01;5;26;30
ARBEITSSCHUH-HE-46-RT;2023-03-01;6;26;30
ARBEITSSCHUH-HE-46-RT;2023-04-01;5;26;30
ARBEITSSCHUH-HE-46-RT;2023-05-01;7;26;30
ARBEITSSCHUH-HE-46-RT;2023-06-01;6;26;30
ARBEITSSCHUH-HE-46-RT;2023-07-01;7;26;30
ARBEITSSCHUH-HE-46-RT;2023-08-01;7;26;30
ARBEITSSCHUH-HE-46-RT;2023-09-01;7;26;30
ARBEITSSCHUH-HE-46-RT;2023-10-01;8;26;30
ARBEITSSCHUH-HE-46-RT;2023-11-01;5;26;30
ARBEITSSCHUH-HE-46-RT;2023-12-01;10;26;30
ARBEITSSCHUH-HE-46-RT;2024-01-01;6;26;30
ARBEITSSCHUH-HE-46-RT;2024-02-01;6;26;30
ARBEITSSCHUH-HE-46-RT;2024-03-01;7;26;30
ARBEITSSCHUH-HE-46-RT;2024-04-01;9;26;30
ARBEITSSCHUH-HE-46-RT;2024-05-01;5;26;30
ARBEITSSCHUH-HE-46-RT;2024-06-01;6;26;30
ARBEITSSCHUH-HE-46-RT;2024-07-01;6;26;30
ARBEITSSCHUH-HE-46-RT;2024-08-01;7;26;30
ARBEITSSCHUH-HE-46-RT;2024-09-01;6;26;30
ARBEITSSCHUH-HE-46-RT;2024-10-01;5;26;30
ARBEITSSCHUH-HE-46-RT;2024-11-01;8;26;30
ARBEITSSCHUH-HE-46-RT;2024-12-01;6;26;30
BADESCHUH-HE-40-BG;2023-01-01;1;22;60
BADESCHUH-HE-40-BG;2023-02-01;1;22;60
BADESCHUH-HE-40-BG;2023-03-01;3;22;60
BADESCHUH-HE-40-BG;2023-04-01;8;22;60
BADESCHUH-HE-40-BG;2023-05-01;9;22;60
BADESCHUH-HE-40-BG;2023-06-01;16;22;60
BADESCHUH-HE-40-BG;2023-07-01;18;22;60
BADESCHUH-HE-40-BG;2023-08-01;17;22;60
BADESCHUH-HE-40-BG;2023-09-01;6;22;60
BADESCHUH-HE-40-BG;2023-10-01;3;22;60
BADESCHUH-HE-40-BG;2023-11-01;2;22;60
BADESCHUH-HE-40-BG;2023-12-01;1;22;60
BADESCHUH-HE-40-BG;2024-01-01;2;22;60
BADESCHUH-HE-40-BG;2024-02-01;1;22;60
BADESCHUH-HE-40-BG;2024-03-01;3;22;60
BADESCHUH-HE-40-BG;2024-04-01;8;22;60
BADESCHUH-HE-40-BG;2024-05-01;11;22;60
BADESCHUH-HE-40-BG;2024-06-01;17;22;60
BADESCHUH-HE-40-BG;2024-07-01;21;22;60
BADESCHUH-HE-40-BG;2024-08-01;16;22;60
BADESCHUH-HE-40-BG;2024-09-01;7;22;60
BADESCHUH-HE-40-BG;2024-10-01;2;22;60
BADESCHUH-HE-40-BG;2024-11-01;2;22;60
BADESCHUH-HE-40-BG;2024-12-01;1;22;60
BADESCHUH-HE-40-SW;2023-01-01;2;5;60
BADESCHUH-HE-40-SW;2023-02-01;3;5;60
BADESCHUH-HE-40-SW;2023-03-01;8;5;60
BADESCHUH-HE-40-SW;2023-04-01;16;5;60
BADESCHUH-HE-40-SW;2023-05-01;31;5;60
BADESCHUH-HE-40-SW;2023-06-01;44;5;60
BADESCHUH-HE-40-SW;2023-07-01;31;5;60
BADESCHUH-HE-40-SW;2023-08-01;33;5;60
BADESCHUH-HE-40-SW;2023-09-01;21;5;60
BADESCHUH-HE-40-SW;2023-10-01;7;5;60
BADESCHUH-HE-40-SW;2023-11-01;4;5;60
BADESCHUH-HE-40-SW;2023-12-01;3;5;60
BADESCHUH-HE-40-SW;2024-01-01;2;5;60
BADESCHUH-HE-40-SW;2024-02-01;4;5;60
BADESCHUH-HE-40-SW;2024-03-01;11;5;60
BADESCHUH-HE-40-SW;2024-04-01;18;5;60
BADESCHUH-HE-40-SW;2024-05-01;32;5;60
BADESCHUH-HE-40-SW;2024-06-01;44;5;60
BADESCHUH-HE-40-SW;2024-07-01;37;5;60
BADESCHUH-HE-40-SW;2024-08-01;26;5;60
BADESCHUH-HE-40-SW;2024-09-01;19;5;60
BADESCHUH-HE-40-SW;2024-10-01;8;5;60
BADESCHUH-HE-40-SW;2024-11-01;4;5;60
BADESCHUH-HE-40-SW;2024-12-01;3;5;60
BADESCHUH-HE-42-BG;2023-01-01;2;2;60
BADESCHUH-HE-42-BG;2023-02-01;3;2;60
BADESCHUH-HE-42-BG;2023-03-01;11;2;60
BADESCHUH-HE-42-BG;2023-04-01;13;2;60
BADESCHUH-HE-42-BG;2023-05-01;43;2;60
BADESCHUH-HE-42-BG;2023-06-01;32;2;60
BADESCHUH-HE-42-BG;2023-07-01;42;2;60
BADESCHUH-HE-42-BG;2023-08-01;22;2;60
BADESCHUH-HE-42-BG;2023-09-01;13;2;60
BADESCHUH-HE-42-BG;2023-10-01;5;2;60
BADESCHUH-HE-42-BG;2023-11-01;3;2;60
BADESCHUH-HE-42-BG;2023-12-01;2;2;60
BADESCHUH-HE-42-BG;2024-01-01;2;2;60
BADESCHUH-HE-42-BG;2024-02-01;2;2;60
BADESCHUH-HE-42-BG;2024-03-01;9;2;60
BADESCHUH-HE-42-BG;2024-04-01;20;2;60
BADESCHUH-HE-42-BG;2024-05-01;25;2;60
BADESCHUH-HE-42-BG;2024-06-01;36;2;60
BADESCHUH-HE-42-BG;2024-07-01;53;2;60
BADESCHUH-HE-42-BG;2024-08-01;20;2;60
BADESCHUH-HE-42-BG;2024-09-01;12;2;60
BADESCHUH-HE-42-BG;2024-10-01;5;2;60
BADESCHUH-HE-42-BG;2024-11-01;3;2;60
BADESCHUH-HE-42-BG;2024-12-01;2;2;60
BADESCHUH-HE-42-GR;2023-01-01;3;17;60
BADESCHUH-HE-42-GR;2023-02-01;4;17;60
BADESCHUH-HE-42-GR;2023-03-01;11;17;60
BADESCHUH-HE-42-GR;2023-04-01;18;17;60
BADESCHUH-HE-42-GR;2023-05-01;44;17;60
BADESCHUH-HE-42-GR;2023-06-01;56;17;60
BADESCHUH-HE-42-GR;2023-07-01;58;17;60
BADESCHUH-HE-42-GR;2023-08-01;52;17;60
BADESCHUH-HE-42-GR;2023-09-01;20;17;60
BADESCHUH-HE-42-GR;2023-10-01;6;17;60
BADESCHUH-HE-42-GR;2023-11-01;3;17;60
BADESCHUH-HE-42-GR;2023-12-01;3;17;60
BADESCHUH-HE-42-GR;2024-01-01;3;17;60
BADESCHUH-HE-42-GR;2024-02-01;5;17;60
BADESCHUH-HE-42-GR;2024-03-01;7;17;60
BADESCHUH-HE-42-GR;2024-04-01;21;17;60
BADESCHUH-HE-42-GR;2024-05-01;43;17;60
BADESCHUH-HE-42-GR;2024-06-01;58;17;60
BADESCHUH-HE-42-GR;2024-07-01;68;17;60
BADESCHUH-HE-42-GR;2024-08-01;60;17;60
BADESCHUH-HE-42-GR;2024-09-01;25;17;60
BADESCHUH-HE-42-GR;2024-10-01;10;17;60
BADESCHUH-HE-42-GR;2024-11-01;7;17;60
BADESCHUH-HE-42-GR;2024-12-01;3;17;60
BADESCHUH-HE-42-SW;2023-01-01;7;33;60
BADESCHUH-HE-42-SW;2023-02-01;11;33;60
